epoch,lr,loss_total,loss_x,loss_s,loss_b,loss_tan,loss_c,loss_aff,loss_edge,gate_mean,affinity_proj_unfrozen,mask_ratio,mIoU,mIoU_ema,iou_background,iou_cystic_plate,iou_calot_triangle,iou_cystic_artery,iou_cystic_duct,iou_gallbladder,iou_tool,iou_background_ema,iou_cystic_plate_ema,iou_calot_triangle_ema,iou_cystic_artery_ema,iou_cystic_duct_ema,iou_gallbladder_ema,iou_tool_ema,keep_ratio_head,keep_ratio_body,keep_ratio_tail,keep_ratio_background,keep_ratio_cystic_plate,keep_ratio_calot_triangle,keep_ratio_cystic_artery,keep_ratio_cystic_duct,keep_ratio_gallbladder,keep_ratio_tool,pseudo_kept_background,pseudo_kept_cystic_plate,pseudo_kept_calot_triangle,pseudo_kept_cystic_artery,pseudo_kept_cystic_duct,pseudo_kept_gallbladder,pseudo_kept_tool,pseudo_total_background,pseudo_total_cystic_plate,pseudo_total_calot_triangle,pseudo_total_cystic_artery,pseudo_total_cystic_duct,pseudo_total_gallbladder,pseudo_total_tool
0,0.000049,0.495694,0.979583,0.011805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.134503,33.205053,29.984859,87.158367,0.000000,0.000000,0.000000,9.158666,60.778914,75.339425,84.673874,0.000000,0.000000,0.000000,0.000000,53.567866,71.652271,0.130992,0.000000,0.000000,0.169595,0.000000,0.000000,0.000000,0.000000,0.000269,0.000000,9177467,0,0,0,0,3051,0,54114086,2908,30197,40481,280155,11325439,4645017
1,0.000049,0.175540,0.344292,0.006787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.254171,34.314506,32.436502,89.426693,0.000000,0.000000,0.000000,0.506134,71.438628,78.830090,87.813314,0.000000,0.000000,0.000000,0.000000,62.969932,76.272269,0.254600,0.000000,0.000000,0.363576,0.000000,0.000000,0.000000,0.000000,0.037656,0.114761,17431210,0,0,0,0,750817,737856,47943822,0,0,0,0,19938749,6429528
2,0.000048,0.149621,0.278336,0.020906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.423774,37.823498,33.603673,89.914760,11.974915,0.443209,0.000000,12.620208,71.836847,77.974550,88.982545,0.000000,0.000000,0.000000,1.075954,67.282629,77.884584,0.423919,0.000000,0.000000,0.550089,0.000000,0.000000,0.000000,0.000000,0.160441,0.348596,26144628,0,0,0,0,3365898,2170944,47528009,0,0,0,762,20979085,6227685
3,0.000048,0.127279,0.227178,0.027381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.507157,39.806295,34.991686,90.682362,7.200417,0.000000,0.000000,28.199037,73.111417,79.450830,89.713695,0.000000,0.000000,0.000000,6.689350,69.683333,78.855423,0.507461,0.000000,0.000000,0.621180,0.000000,0.000000,0.000000,0.000000,0.262498,0.483344,28431905,0,0,0,0,5408990,3153509,45770793,0,0,0,40507,20605838,6524356
4,0.000047,0.122198,0.213278,0.031118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.571932,39.295801,35.845729,90.839263,1.634105,0.315612,0.000000,25.760182,75.185853,81.335592,90.136350,0.271841,0.000000,0.000000,9.634876,71.279285,79.597752,0.572772,0.000000,0.000000,0.669192,0.000000,0.000000,0.000000,0.000000,0.343548,0.579974,30557528,0,0,0,0,6673059,3990784,45663324,7637,0,0,109686,19423964,6880969
5,0.000047,0.109442,0.180346,0.038537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.606498,40.586821,36.778791,90.601700,5.572903,3.098289,0.322595,30.435668,72.629050,81.447545,90.398001,0.675513,0.000000,0.000000,13.748963,72.395648,80.233412,0.607999,0.000000,0.000000,0.695336,0.000000,0.000000,0.000000,0.000000,0.394019,0.618484,32372562,0,0,0,0,7621643,4304348,46556736,22966,0,2233,218021,19343354,6959519
6,0.000046,0.102486,0.166765,0.038206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.639303,39.389241,37.767118,91.029070,0.473513,0.000000,0.307492,24.169766,76.710289,83.034556,90.714183,0.969979,0.000000,0.000000,18.368024,73.528192,80.789447,0.642943,0.000000,0.000000,0.717285,0.000000,0.000000,0.000000,0.000000,0.448013,0.657708,34300134,0,0,0,0,8399573,4439177,47819416,51868,0,6457,258365,18748512,6749462
7,0.000046,0.097263,0.159657,0.034868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.654213,40.634761,38.289521,90.731338,6.951343,9.702759,1.415434,20.262575,74.211290,81.168586,90.915399,1.388641,0.000000,0.000000,20.233878,74.292632,81.196095,0.657899,0.000000,0.000000,0.720763,0.000000,0.000000,0.000000,0.000000,0.480423,0.677412,34012924,0,0,0,0,8379161,4471765,47190146,62949,78,5955,382588,17441212,6601253
8,0.000045,0.091453,0.142217,0.040688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.667900,42.903709,38.840165,91.305346,5.890667,13.824136,1.536559,28.610501,76.032363,83.126388,91.088108,2.153400,0.000000,0.000000,22.212051,74.925634,81.501959,0.672452,0.000000,0.000000,0.739755,0.000000,0.000000,0.000000,0.000000,0.505802,0.668552,35625037,0,0,0,0,9755463,4617186,48157908,77823,36,18954,409554,19287104,6906252
9,0.000044,0.091976,0.140150,0.043801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.666301,42.593594,39.379815,92.689045,2.065343,14.701751,1.092778,27.673999,77.364776,82.567466,91.334268,2.841468,0.000000,0.004302,24.006301,75.701324,81.771042,0.672082,0.000000,0.000000,0.736609,0.000000,0.000000,0.000000,0.000000,0.515711,0.668833,34577415,0,0,0,0,9915329,4635593,46941315,151299,7805,33003,454767,19226525,6930871
10,0.000044,0.098507,0.148021,0.048994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.676382,41.953708,39.763963,92.572351,2.307342,6.671641,0.824701,29.346638,78.279553,83.673733,91.479657,3.371910,0.000000,0.031527,25.227306,76.241425,81.995915,0.683048,0.000058,0.000000,0.742977,0.000000,0.000000,0.000000,0.000078,0.531243,0.700171,34417820,0,0,0,42,10108562,4596830,46324216,158284,5753,29937,540632,19028131,6565299
11,0.000043,0.085477,0.131065,0.039888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.698763,44.865823,40.142898,92.211588,7.856287,18.617307,0.372545,32.784547,78.725918,83.492566,91.609806,4.033727,0.095665,0.057587,26.474234,76.572480,82.156784,0.708244,0.000124,0.000000,0.762395,0.000000,0.000000,0.000000,0.000171,0.572464,0.698326,35397439,0,0,0,121,10315220,4757436,46429252,199847,4341,70052,707103,18018981,6812631
12,0.000043,0.082533,0.118026,0.047040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.703181,43.540174,40.432933,92.012263,4.442817,16.284328,0.238810,32.066701,76.143214,83.593088,91.709467,4.701993,0.275801,0.089356,27.025715,76.870382,82.357819,0.712270,0.000984,0.000000,0.768772,0.000000,0.000000,0.000000,0.001284,0.577198,0.705681,35500460,0,0,0,854,10960546,4737274,46178152,151961,7599,50590,665109,18989222,6713056
13,0.000042,0.083849,0.121332,0.046366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.703428,44.646192,40.740457,91.881135,7.497550,13.152944,5.670969,35.306874,76.399389,82.614483,91.811535,5.282436,0.529490,0.117097,27.793968,77.159474,82.489199,0.713461,0.000247,0.000000,0.772225,0.000000,0.000000,0.000000,0.000339,0.560126,0.715832,37038849,0,0,0,264,10356426,5005641,47963825,227472,17534,65301,777676,18489456,6992759
